_id,﻿id,año,rol_establecimiento,id_rol_establecimiento,id_vu,nombre_establecimiento,razon_social,rut_razon_social,ciiu4,id_ciiu4,ciiu6,id_ciiu6,latitud,longitud,id_comuna,comuna,provincia,region,rubro_vu,id_rubro_vu,entrada_salida,cantidad_toneladas,tratamiento_nivel_3,id_tratamiento_nivel_3,tratamiento_nivel_1,id_tratamiento_nivel_1,capitulo_ler,id_capitulo_ler,subcapitulo_ler,id_subcapitulo_ler,nombre_ler,ler_codigo
11,1175,2022,Destinatario Final,4,8876,SOC NACIONAL METALURGICA LTDA,SOC NACIONAL METALURGICA LTDA,80411800-4,Fundición de metales no ferrosos,C2432,Fundición de metales no ferrosos,C243200,"-33,479064633483","-70,63568583611",13129,San Joaquín,Santiago,Metropolitana de Santiago,Otras industrias manufactureras,10,1,"1,259",Reciclaje de metales,20,Valorización,2,17 | Residuos de la construcción y demolición,17,04 | Metales (incluidas sus aleaciones),4,17 04 02 | Aluminio,2002-04-17T00:00:00
12,776,2022,Destinatario Final,4,5471595,CASA MATRIZ,RECICLAJE Y COMERCIALIZACION DE EXCEDENTES MINEROS Y ARTICULOS DE REMA,76337798-9,Recuperación de materiales,E3830,Recuperación y reciclamiento de desperdicios y desechos metálicos,E383001,"-27,450509190465","-70,26588962866",3103,Tierra Amarilla,Copiapó,Atacama,Gestores de residuos,15,1,"344,2",Valorización,2,Valorización,2,17 | Residuos de la construcción y demolición,17,04 | Metales (incluidas sus aleaciones),4,17 04 05 | Hierro y acero no galvanizados,2005-04-17T00:00:00
13,950,2022,Destinatario Final,4,5453558,RECICLAJES INDUSTRIALES SA,RECICLAJES INDUSTRIALES S A,96834290-8,Actividades de descontaminación y otros servicios de gestión de desechos,E3900,Actividades de descontaminación y otros servicios de gestión de desechos,E390000,"-33,378585004699","-70,772131699785",13124,Pudahuel,Santiago,Metropolitana de Santiago,Otras actividades,20,1,"145,1",Compostaje,27,Valorización,2,17 | Residuos de la construcción y demolición,17,"02 | Madera, vidrio y plástico",2,17 02 01 | Madera libre de impregnación o pinturas,2001-02-17T00:00:00
14,966,2022,Destinatario Final,4,5453558,RECICLAJES INDUSTRIALES SA,RECICLAJES INDUSTRIALES S A,96834290-8,Actividades de descontaminación y otros servicios de gestión de desechos,E3900,Actividades de descontaminación y otros servicios de gestión de desechos,E390000,"-33,378585004699","-70,772131699785",13124,Pudahuel,Santiago,Metropolitana de Santiago,Otras actividades,20,1,"8,73",Compostaje,27,Valorización,2,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",20,03 | Otros residuos municipales,3,20 03 99 | Residuos municipales no especificados en otra categoría,1999-03-20T00:00:00
15,978,2022,Destinatario Final,4,5453558,RECICLAJES INDUSTRIALES SA,RECICLAJES INDUSTRIALES S A,96834290-8,Actividades de descontaminación y otros servicios de gestión de desechos,E3900,Actividades de descontaminación y otros servicios de gestión de desechos,E390000,"-33,378585004699","-70,772131699785",13124,Pudahuel,Santiago,Metropolitana de Santiago,Otras actividades,20,1,"31,47",Reciclaje,8,Valorización,2,16 | Residuos no especificados en otro capítulo de la lista,16,03 | Lotes de productos fuera de especificación y productos no utilizados,3,16 03 06 | Residuos orgánicos distintos de los especificados en el código 16 03 05,2006-03-16T00:00:00
16,1147,2022,Destinatario Final,4,5452485,Veolia Respel Chile SpA,VEOLIA RESPEL CHILE SPA,76395745-4,Tratamiento y eliminación de desechos peligrosos,E3822,Tratamiento y eliminación de desechos peligrosos,E382200,"-33,12486742569","-71,544222735787",5101,Valparaíso,Valparaíso,Valparaíso,Gestores de residuos,15,1,141,Depósito de Seguridad,33,Eliminación,1,07 | Residuos de procesos químicos orgánicos,7,"06 | Residuos de la FFDU de grasas, jabones, detergentes, desinfectantes y cosméticos",6,07 06 99 | Residuos no especificados en otra categoría,1999-07-06T00:00:00
17,1196,2022,Destinatario Final,4,5459852,ESPINOZA HERMANOS LIMITADA,ESPINOZA HERMANOS LIMITADA,76126367-6,Recogida de desechos no peligrosos,E3811,Recogida de desechos no peligrosos,E381100,"-28,290438355457","-70,697985791257",3301,Vallenar,Huasco,Atacama,Gestores de residuos,15,1,56,Pretratamiento de Metales,44,Recolección,5,17 | Residuos de la construcción y demolición,17,04 | Metales (incluidas sus aleaciones),4,17 04 07 | Metales mezclados,2007-04-17T00:00:00
18,1202,2022,Destinatario Final,4,5459852,ESPINOZA HERMANOS LIMITADA,ESPINOZA HERMANOS LIMITADA,76126367-6,Recogida de desechos no peligrosos,E3811,Recogida de desechos no peligrosos,E381100,"-28,290438355457","-70,697985791257",3301,Vallenar,Huasco,Atacama,Gestores de residuos,15,1,"4,33",Reciclaje de metales,20,Valorización,2,17 | Residuos de la construcción y demolición,17,04 | Metales (incluidas sus aleaciones),4,17 04 07 | Metales mezclados,2007-04-17T00:00:00
19,1453,2022,Destinatario Final,4,90327,PLANTA PUDAHUEL,HIDRONOR CHILE S.A,96607990-8,Actividades de descontaminación y otros servicios de gestión de desechos,E3900,Actividades de descontaminación y otros servicios de gestión de desechos,E390000,"-33,421077864092","-70,81640910523",13124,Pudahuel,Santiago,Metropolitana de Santiago,Otras actividades,20,1,"0,849",Depósito de Seguridad,33,Eliminación,1,17 | Residuos de la construcción y demolición,17,04 | Metales (incluidas sus aleaciones),4,17 04 05 | Hierro y acero no galvanizados,2005-04-17T00:00:00
20,1487,2022,Destinatario Final,4,90327,PLANTA PUDAHUEL,HIDRONOR CHILE S.A,96607990-8,Actividades de descontaminación y otros servicios de gestión de desechos,E3900,Actividades de descontaminación y otros servicios de gestión de desechos,E390000,"-33,421077864092","-70,81640910523",13124,Pudahuel,Santiago,Metropolitana de Santiago,Otras actividades,20,1,"11,573",Depósito de Seguridad,33,Eliminación,1,07 | Residuos de procesos químicos orgánicos,7,"02 | Residuos de la FFDU de plásticos, caucho sintético y fibras artificiales",2,07 02 99 | Residuos no especificados en otra categoría,1999-07-02T00:00:00
21,1609,2022,Destinatario Final,4,5464578,RECICLADORA RECICLEAN SPA,RECICLADORA RECICLEAN SPA,76201081-K,Recuperación de materiales,E3830,Recuperación y reciclamiento de papel,E383002,"-33,486139854149","-70,7029226747",13102,Cerrillos,Santiago,Metropolitana de Santiago,Gestores de residuos,15,1,"0,035",Reciclaje de vidrio,19,Valorización,2,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",20,01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),1,20 01 02 | Vidrio,2002-01-20T00:00:00
22,1735,2022,Destinatario Final,4,2289604,PLANTA ANTOFAGASTA,HIDRONOR CHILE S.A,96607990-8,Tratamiento y eliminación de desechos peligrosos,E3822,Tratamiento y eliminación de desechos peligrosos,E382200,"-24,25935831735","-70,035643027901",2101,Antofagasta,Antofagasta,Antofagasta,Gestores de residuos,15,1,"124,88",Depósito de Seguridad,33,Eliminación,1,10 | Residuos de procesos térmicos,10,06 | Residuos de la termometalurgia del cobre,6,10 06 99 | Residuos no especificados en otra categoría,1999-10-06T00:00:00
23,1797,2022,Destinatario Final,4,33161,PLANTA COPIULEMU,HIDRONOR CHILE S.A,96607990-8,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,"-36,863902346883","-72,856266512602",8104,Florida,Concepción,Biobío,Gestores de residuos,15,1,"143,08",Relleno sanitario,11,Eliminación,1,10 | Residuos de procesos térmicos,10,11 | Residuos de la fabricación del vidrio y sus derivados,11,10 11 05 | Partículas y polvo,2005-10-11T00:00:00
24,2001,2022,Destinatario Final,4,5476517,FREDY EDUARDO CORDOVA RIQUELME,FREDY EDUARDO CORDOVA RIQUELME,13388074-7,Otras actividades de servicios personales n.c.p.,S9609,Otras actividades de servicios personales n.c.p.,S960909,"-37,465915358555","-72,32642931918",8301,Los Angeles,Biobío,Biobío,Otras actividades,20,2,"12,625",Pretratamiento de Metales,44,Recolección,5,12 | Residuos del moldeado y del tratamiento físico y mecánico de superficie de metales y plásticos,12,01 | Residuos del moldeado y tratamiento físico y mecánico de superficie de metales y plásticos,1,12 01 99 | Residuos no especificados en otra categoría,1999-12-01T00:00:00
25,2114,2022,Destinatario Final,4,5955,BRAVO ENERGY CHILE SA,BRAVO ENERGY CHILE S A,96726750-3,Venta al por mayor no especializada,G4690,Venta al por mayor no especializada,G469000,"-33,531281959795","-70,751573813776",13119,Maipú,Santiago,Metropolitana de Santiago,Comercio mayorista,18,1,"9,76",Valorización,2,Valorización,2,07 | Residuos de procesos químicos orgánicos,7,"06 | Residuos de la FFDU de grasas, jabones, detergentes, desinfectantes y cosméticos",6,07 06 99 | Residuos no especificados en otra categoría,1999-07-06T00:00:00
26,2272,2022,Destinatario Final,4,244575,ECOBIO,ECOBIO SPA,77295110-8,Tratamiento y eliminación de desechos peligrosos,E3822,Tratamiento y eliminación de desechos peligrosos,E382200,"-36,696851570736","-72,163945907103",16103,Chillan Viejo,Diguillín,Ñuble,Gestores de residuos,15,1,"266,78",Disposición final,3,Eliminación,1,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",2,"02 | Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal",2,02 02 04 | Lodos del tratamiento in situ de efluentes,2004-02-02T00:00:00
27,2257,2022,Destinatario Final,4,348951,ENERGIA PACIFICO SA,ENERGIA PACIFICO S.A.,76004531-4,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,"-33,981091016593","-70,697577398787",6110,Mostazal,Cachapoal,Libertador Gral. Bernardo O'Higgins,Termoeléctricas,11,1,"0,6",Co-procesamiento,23,Valorización,2,17 | Residuos de la construcción y demolición,17,"02 | Madera, vidrio y plástico",2,17 02 01 | Madera libre de impregnación o pinturas,2001-02-17T00:00:00
28,2319,2022,Destinatario Final,4,244575,ECOBIO,ECOBIO SPA,77295110-8,Tratamiento y eliminación de desechos peligrosos,E3822,Tratamiento y eliminación de desechos peligrosos,E382200,"-36,696851570736","-72,163945907103",16103,Chillan Viejo,Diguillín,Ñuble,Gestores de residuos,15,1,"5348,422",Relleno sanitario,11,Eliminación,1,"03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón",3,01 | Residuos de la transformación de la madera y de la producción de tableros y muebles,1,03 01 99 | Residuos no especificados en otra categoría,1999-03-01T00:00:00
29,3758,2022,Destinatario Final,4,5478528,PLANTA COMPOSTAJE LUZ VERDE,EMPRESA CONSTRUCTORA CAM Y ASOCIADOS LIMITADA,78854210-0,Recuperación de materiales,E3830,Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.,E383009,"-32,971718518826","-71,474738188043",5103,Concón,Valparaíso,Valparaíso,Gestores de residuos,15,1,"65,89",Compostaje,27,Valorización,2,17 | Residuos de la construcción y demolición,17,"02 | Madera, vidrio y plástico",2,17 02 01 | Madera libre de impregnación o pinturas,2001-02-17T00:00:00
30,2589,2022,Destinatario Final,4,5478064,CONARE VALDIVIA,CONARE CHILE SPA,76995969-6,Transporte de carga por carretera,H4923,Transporte de carga por carretera,H492300,"-39,817379960075","-73,242533254611",14101,Valdivia,Valdivia,Los Ríos,Otras actividades,20,1,"13,43",Preparación para reutilización,7,Valorización,2,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",20,01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),1,20 01 01 | Papel y cartón,2001-01-20T00:00:00
31,2650,2022,Destinatario Final,4,5463244,ECCOFEED SPA,ECCOFEED SPA,76415706-0,Elaboración de piensos preparados para animales,C1080,Elaboración de piensos preparados para animales,C108000,"-33,73446278408","-70,725935787152",13402,Buin,Maipo,Metropolitana de Santiago,Otras industrias manufactureras,10,1,"6,07",Preparación para reutilización,7,Valorización,2,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",2,05 | Residuos de la industria de productos lácteos,5,02 05 01 | Materiales inadecuados para el consumo o la elaboración,2001-02-05T00:00:00
32,2726,2022,Destinatario Final,4,5465719,RECYCLING LAS INDUSTRIAS,RECYCLING S.A.,77032590-0,Tratamiento y eliminación de desechos peligrosos,E3822,Tratamiento y eliminación de desechos peligrosos,E382200,"-33,326797661368","-70,731581784114",13302,Lampa,Chacabuco,Metropolitana de Santiago,Gestores de residuos,15,1,"15,6252999878",Co-procesamiento,23,Valorización,2,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",20,01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),1,20 01 25 | Aceites y grasas comestibles,2025-01-20T00:00:00
33,2761,2022,Destinatario Final,4,5465719,RECYCLING LAS INDUSTRIAS,RECYCLING S.A.,77032590-0,Tratamiento y eliminación de desechos peligrosos,E3822,Tratamiento y eliminación de desechos peligrosos,E382200,"-33,326797661368","-70,731581784114",13302,Lampa,Chacabuco,Metropolitana de Santiago,Gestores de residuos,15,1,"0,96",Relleno sanitario,11,Eliminación,1,09 | Residuos de la industria fotográfica,9,01 | Residuos de la industria fotográfica,1,09 01 99 | Residuos no especificados en otra categoría,1999-09-01T00:00:00
34,2794,2022,Destinatario Final,4,5473631,RELLENO SANITARIO EL PANUL,INVERSIONES PANUL LIMITADA,76349947-2,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,"-30,012196316298","-71,363305501789",4102,Coquimbo,Elqui,Coquimbo,Gestores de residuos,15,1,"2,14",Relleno sanitario,11,Eliminación,1,17 | Residuos de la construcción y demolición,17,"01 | Hormigón, ladrillos, tejas y materiales cerámicos",1,17 01 01 | Hormigón,2001-01-17T00:00:00
35,2833,2022,Destinatario Final,4,5478506,INVERSIONES CORMI LIMITADA,INVERSIONES CORMI LIMITADA,76855448-K,Recogida de desechos no peligrosos,E3811,Recogida de desechos no peligrosos,E381100,"-33,393871344258","-70,810187902656",13124,Pudahuel,Santiago,Metropolitana de Santiago,Gestores de residuos,15,1,"2314,6",Sitio de Escombros de la Construcción,60,Eliminación,1,17 | Residuos de la construcción y demolición,17,"01 | Hormigón, ladrillos, tejas y materiales cerámicos",1,17 01 01 | Hormigón,2001-01-17T00:00:00
36,2836,2022,Destinatario Final,4,5478506,INVERSIONES CORMI LIMITADA,INVERSIONES CORMI LIMITADA,76855448-K,Recogida de desechos no peligrosos,E3811,Recogida de desechos no peligrosos,E381100,"-33,393871344258","-70,810187902656",13124,Pudahuel,Santiago,Metropolitana de Santiago,Gestores de residuos,15,1,"10109,305",Sitio de Escombros de la Construcción,60,Eliminación,1,17 | Residuos de la construcción y demolición,17,"05 | Tierra (excluida la excavada de zonas contaminadas), piedras y lodos de drenaje",5,17 05 04 | Tierra y piedras distintas de las especificadas en el código 17 05 03,2004-05-17T00:00:00
37,2903,2022,Destinatario Final,4,4587897,CENTRO DE TRATAMIENTO DE RESIDUOS ECOMAULE,ECOMAULE S A,99539220-8,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,"-35,200752053255","-71,401907015959",7108,Río Claro,Talca,Maule,Gestores de residuos,15,1,"132,152",Relleno sanitario,11,Eliminación,1,"04 | Residuos de las industrias del cuero, de la piel y textil",4,01 | Residuos de las industrias del cuero y de la piel,1,04 01 09 | Residuos de confección y acabado,2009-04-01T00:00:00
38,3114,2022,Destinatario Final,4,97614,RELLENO SANITARIO SANTA MARTA,CONSORCIO SANTA MARTA S A,96828810-5,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,"-33,697171417964","-70,802532359533",13601,Talagante,Talagante,Metropolitana de Santiago,Gestores de residuos,15,1,"103,05",Relleno sanitario,11,Eliminación,1,"04 | Residuos de las industrias del cuero, de la piel y textil",4,02 | Residuos de la industria textil,2,04 02 99 | Residuos no especificados en otra categoría,1999-04-02T00:00:00
39,3115,2022,Destinatario Final,4,97614,RELLENO SANITARIO SANTA MARTA,CONSORCIO SANTA MARTA S A,96828810-5,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,"-33,697171417964","-70,802532359533",13601,Talagante,Talagante,Metropolitana de Santiago,Gestores de residuos,15,1,"4,7",Relleno sanitario,11,Eliminación,1,06 | Residuos de procesos químicos inorgánicos,6,05 | Lodos del tratamiento in situ de efluentes,5,"06 05 03 | Lodos del tratamiento in situ de efluentes, distintos de los mencionados en el código 06 05 02",2003-06-05T00:00:00
40,3042,2022,Destinatario Final,4,2397,PLANTA ARAUCO,CELULOSA ARAUCO Y CONSTITUCION S A,93458000-1,"Fabricación de pasta de madera, papel y cartón",C1701,Fabricación de celulosa y otras pastas de madera,C170110,"-37,206209812008","-73,224333370304",8202,Arauco,Arauco,Biobío,Industria del papel y celulosa,5,1,"14470,263",Vertedero,12,Eliminación,1,"03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón",3,"03 | Residuos de la producción y transformación de pasta de papel, papel y cartón",3,03 03 09 | Residuos de lodos calizos,2009-03-03T00:00:00
41,3091,2022,Destinatario Final,4,97614,RELLENO SANITARIO SANTA MARTA,CONSORCIO SANTA MARTA S A,96828810-5,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,"-33,697171417964","-70,802532359533",13601,Talagante,Talagante,Metropolitana de Santiago,Gestores de residuos,15,1,"655,47",Relleno sanitario,11,Eliminación,1,"01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales",1,01 | Residuos de la extracción de minerales,1,01 01 01 | Residuos de la extracción de minerales metálicos,2001-01-01T00:00:00
42,3108,2022,Destinatario Final,4,97614,RELLENO SANITARIO SANTA MARTA,CONSORCIO SANTA MARTA S A,96828810-5,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,"-33,697171417964","-70,802532359533",13601,Talagante,Talagante,Metropolitana de Santiago,Gestores de residuos,15,1,"4,32",Relleno sanitario,11,Eliminación,1,"04 | Residuos de las industrias del cuero, de la piel y textil",4,01 | Residuos de las industrias del cuero y de la piel,1,04 01 02 | Residuos de encalado,2002-04-01T00:00:00
43,3222,2022,Destinatario Final,4,5471589,ECOPLAS LIMITADA,ECOPLAS LIMITADA,76735950-0,"Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.",G4669,"Venta al por mayor de desperdicios, desechos y otros productos n.c.p.",G466909,"-33,415018043999","-70,703264167001",13126,Quinta Normal,Santiago,Metropolitana de Santiago,Comercio mayorista,18,1,"0,759",Depósito de Seguridad,33,Eliminación,1,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",15,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),1,15 01 02 | Envases de plástico,2002-01-15T00:00:00
44,3232,2022,Destinatario Final,4,5471589,ECOPLAS LIMITADA,ECOPLAS LIMITADA,76735950-0,"Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.",G4669,"Venta al por mayor de desperdicios, desechos y otros productos n.c.p.",G466909,"-33,415018043999","-70,703264167001",13126,Quinta Normal,Santiago,Metropolitana de Santiago,Comercio mayorista,18,1,"2,551",Reciclaje de plásticos,18,Valorización,2,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",2,"02 | Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal",2,02 02 03 | Materiales inadecuados para el consumo o la elaboración,2003-02-02T00:00:00
45,3267,2022,Destinatario Final,4,59355,EL EMPALME,REXIN SPA,78773970-9,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,"-41,583534400406","-73,240579963904",10108,Maullín,Llanquihue,Los Lagos,Gestores de residuos,15,1,"288,4",Vertedero,12,Eliminación,1,"04 | Residuos de las industrias del cuero, de la piel y textil",4,01 | Residuos de las industrias del cuero y de la piel,1,"04 01 08 | Residuos de piel curtida (serrajes, rebajaduras, recortes y polvo de esmerilado) que contienen cromo",2008-04-01T00:00:00
46,1169,2022,Destinatario Final,4,8876,SOC NACIONAL METALURGICA LTDA,SOC NACIONAL METALURGICA LTDA,80411800-4,Fundición de metales no ferrosos,C2432,Fundición de metales no ferrosos,C243200,"-33,479064633483","-70,63568583611",13129,San Joaquín,Santiago,Metropolitana de Santiago,Otras industrias manufactureras,10,1,"0,95",Reciclaje de metales,20,Valorización,2,17 | Residuos de la construcción y demolición,17,04 | Metales (incluidas sus aleaciones),4,17 04 02 | Aluminio,2002-04-17T00:00:00
47,3399,2022,Destinatario Final,4,5467706,AMGELO VALENZUELA RODRUIGUEZ,ANGELO AUGUSTO VALENZUELA RODRIGUEZ,15984435-8,"Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.",G4669,Venta al por mayor de desechos metálicos (chatarra),G466902,"-36,299998839715","-71,899998591227",16303,Ñiquén,Punilla,Ñuble,Comercio mayorista,18,1,"1,48",Pretratamiento de Metales,44,Recolección,5,17 | Residuos de la construcción y demolición,17,04 | Metales (incluidas sus aleaciones),4,"17 04 01 | Cobre, bronce, latón",2001-04-17T00:00:00
